train_type,content,result
VALIDATE,hey there,greeting
VALIDATE,"hello, Hi, Hey, Hii, HIIIII, hey, hu, hellllo, hiiiii",greeting
VALIDATE,"annoyed, bitter, enraged, exasperated, furious, impassioned, indignant, irritated, offended, outraged, resentful, sullen, uptight, affronted, antagonized, chafed, choleric, convulsed, displeased, exacerbated, ferocious, fierce, fiery, fuming, galled, hateful, huffy, ill-tempered, incensed, inflamed, infuriated, irascible, ireful, maddened, nettled, piqued, provoked, raging, riled, sore, splenetic, storming, sulky, tumultous/tumultuous, turbulent, vexed, wrathful",others
VALIDATE,great,thanks
VALIDATE,Not so great,others
VALIDATE,dissatisifed effort,others
VALIDATE,"Good Morning, It was pleasure meeting you",goodbye
VALIDATE,you are irritating,others
VALIDATE,"Morning , call your product owner",escalate
VALIDATE,help,help
VALIDATE,Okay,thanks
VALIDATE,Can u check my payments from your client please?,others
VALIDATE,"can you let me know the ML , DL Algos Used",others
VALIDATE,"Thanks...this has a Bold taste, a refreshing treat",thanks
VALIDATE,Thanx for your help,thanks
VALIDATE,"Hi Good Afternoon ,Worst Service",others
VALIDATE,"Hey, can you help in changing my name",others
VALIDATE,"Hi Good Morning Everyone , Thank you.",thanks
VALIDATE,"Hi , I would like to cancel",others
VALIDATE,"Hi Team , musics are soulful",others
VALIDATE,I just need my deposit that's all.,others
VALIDATE,Gaana.com is the largest Indian commercial music streaming service with over 110 million monthly users,others
VALIDATE,closed the request,goodbye
VALIDATE,"Chennai most prone to cyberattacks among Indian metros, study finds",others
VALIDATE,I'm being mad,others
VALIDATE,how is your evening,greeting
VALIDATE,I don't want to,others
VALIDATE,"Hello , could you please help in setting up network",others
VALIDATE,"Hi Good Morning ,Worst Service",others
VALIDATE,"MV Act: 'Want to save lives, not earn money'",others
VALIDATE,I want to talk to someone who can help me here,escalate
VALIDATE,"Hi Good Morning Team , iPhone 11 Pro and iPhone 11 Pro Max: First impressions",others
VALIDATE,escalation,escalate
VALIDATE,"I was able to redirect to the correct team , Thank you",thanks
VALIDATE,how are you doing this morning,greeting
VALIDATE,Indian farming is defying the laws of economics,others
VALIDATE,hi there,greeting
VALIDATE,it's been on hold for very long time,others
VALIDATE,Very Happy for you,greeting
VALIDATE,can you create a xxx,others
VALIDATE,"Hi there , dropping off",goodbye
VALIDATE,How do I change the font size for the Lloyds Bank site without affecting all the other websites,others
VALIDATE,"Hello Everyone , I want your help on solving bug",others
VALIDATE,"Hi Good Morning ,Time to say goodbye",goodbye
VALIDATE,willing to take off,goodbye
VALIDATE,"Hi , waited for very long time",others
VALIDATE,"Hi Good Morning Everyone , Time to say goodbye",goodbye
VALIDATE,are you alright,greeting
VALIDATE,British Airways faces first global pilots' strike,others
VALIDATE,How Nirmala Sitharaman put up an all round show in,others
VALIDATE,Taylor Swift fans descend on Paris for 'City of Lover' concert,others
VALIDATE,I want to speak to your director now,escalate
VALIDATE,Why failure is the fuel for a trip to Moon,others
VALIDATE,perfect thank you,thanks
VALIDATE,hold for long time,others
VALIDATE,When will Apple Pay be available with Barclays please,others
VALIDATE,lovely day,greeting
TRAIN,G'day mate,greeting
TRAIN,how's your day,greeting
TRAIN,what's happened,greeting
TRAIN,pleasure meeting you,goodbye
TRAIN,"Hey , this is Abhi",greeting
TRAIN,I'm fine Thanks. How about you,greeting
TRAIN,"HDFC Bank doubles mid-corporate loan book to over Rs 90,000 cr in 3 years",others
TRAIN,It was good to meet you,greeting
TRAIN,US will sanction whoever purchases Iran's oil :,others
TRAIN,please buy phone,others
TRAIN,I am Bot. How are you doing today,greeting
TRAIN,you are awfull,others
TRAIN,how are you today,greeting
TRAIN,Nokia 7.2 quick review: Impressive looks,others
TRAIN,They greeted me,greeting
TRAIN,"Good Morning, give me your superviser details",escalate
TRAIN,is everything okay,greeting
TRAIN,"This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",thanks
TRAIN,"Hi there , can you pelase. Thanks",others
TRAIN,long time no see,greeting
TRAIN,glad to see you too,greeting
TRAIN,"Hi Good Morning ,Untill we meet everyone. GoodBye",goodbye
TRAIN,I would like to xxx,others
TRAIN,how are you going,greeting
TRAIN,fake,others
TRAIN,Hiya,greeting
TRAIN,"Slow, horrible customer action > service!!",others
TRAIN,bye bye see you soon,goodbye
TRAIN,not at all happy  performance,others
TRAIN,"Bengaluru:  poker addict vice-president, his aide arrested for fraud",others
TRAIN,I will exit,goodbye
TRAIN,you are annoying,others
TRAIN,"Hello Team , glad to meet you",greeting
TRAIN,are you okay,greeting
TRAIN,There is a virtual reality section where you can get a 360 view of fans to take a look at all the action,others
TRAIN,Don't trust them penny.,others
TRAIN,"Hi All , Apple iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max launched: Prices, features and more",others
TRAIN,Irdai asks public not to fall prey to fictitious calls offering higher policy benefits,others
TRAIN,follow up ,others
TRAIN,how are you,greeting
TRAIN,"Hello team , cricket is sports",others
TRAIN,"I am not sure, how much do I need to thank you",thanks
TRAIN,Saudi Arabia has a new energy minister: What it,others
TRAIN,"I have an issue , can you connect me to an agent",escalate
TRAIN,Thanks see you later,thanks
TRAIN,that was funny,others
TRAIN,it's been a pleasure talking to you,greeting
TRAIN,"Good Afternoon , no ETA provided. waited from long time",others
TRAIN,"gd bye, good bye, bye, Bye, BYE, gb, good byeeee, byeeee, byeeee, Gooood  Byeee",goodbye
TRAIN,what is up,greeting
TRAIN,quit per se,goodbye
TRAIN,what's cooking,greeting
TRAIN,thx a lot,thanks
TRAIN,what the,others
TRAIN,It's been a while talking to you,greeting
TRAIN,Worst service I ever dealt !,others
TRAIN,Thx,thanks
TRAIN,never expectred this from you,others
TRAIN,What's up these days?,greeting
TRAIN,PM trying to divert attention from real issues: Asaduddin Owaisi,others
TRAIN,Norms for publishing research to be tweaked for medical teachers,others
TRAIN,thanks bye bye,goodbye
TRAIN,"Hello team , football baseball",others
TRAIN,nice to see you,greeting
TRAIN,Ta Ta,goodbye
TRAIN,Apple quietly launches new variant of iPhone 8 and iPhone 8 Plus in India,others
TRAIN,I am completely unsatisfied with the service even after follow up,others
TRAIN,"Morning , Thank you for making it smooth.",thanks
TRAIN,you're a very funny bot,others
TRAIN,"good bye bot , it was pleasure working",goodbye
TRAIN,Expertspeak: 'Turbulence in insolvency process of Jet Airways',others
TRAIN,absolutely not,others
TRAIN,just going to say hi,greeting
TRAIN,Thanks Beau. Well wishes to you and yours.,thanks
TRAIN,Can they remove the fees?,others
TRAIN,"Hi there , Meet this Afghan boy whose fascination for Bollywood",others
TRAIN,"Morning , can you call your manager",escalate
TRAIN,nice speaking with you. bye,goodbye
TRAIN,Thanks & Regards-,thanks
TRAIN,Can I talk to your manager,escalate
TRAIN,when we get ETA atleast,others
TRAIN,"Rapper Meek Mill pleads guilty to gun charge, ending decade-long court fight: media",others
TRAIN,good evening,greeting
TRAIN,"Hi Bot , I would like to get the details",others
TRAIN,"Hi , time to bid adeu",goodbye
TRAIN,"Morning , I want to escalate further to director",escalate
TRAIN,never,others
TRAIN,Hi team keypad is fine,others
TRAIN,how do you do,greeting
TRAIN,a good day,greeting
TRAIN,close the request. Thanks,goodbye
TRAIN,Didi won't enforce hefty fines for traffic violations,others
TRAIN,Help me connect to a customer representative,escalate
TRAIN,cancel,cancel
TRAIN,how has your day been,greeting
TRAIN,I need credit card.,others
TRAIN,why no one is hearing our problems,others
TRAIN,We've planned well for Australia tour: Murali Vijay,others
TRAIN,please can you send me email?,others
TRAIN,"As 9/11 dawns, Trump blasts Fed members as",others
TRAIN,quit SIT,goodbye
TRAIN,now bye,goodbye
TRAIN,Hi word,others
TRAIN,what's up budy.,greeting
TRAIN,how funny you are,others
TRAIN,"hello team , may times of india",others
TRAIN,"Hi Good Afternoon ,Thanks a lot for your help",thanks
TRAIN,I went to this Cafe in South bombay,others
TRAIN,"Hello, how can I transfer a positive account balance from my credit card to my current account",others
TRAIN,no I would not,others
TRAIN,Apple iPhone 11 Pro Max vs iPhone XS Max: Comparison between most-expensive 2019 iPhone with its predecessor,others
TRAIN,great to see you,greeting
TRAIN,"Hi team , can you build chatbots",others
TRAIN,Hi There,greeting
TRAIN,"there , good bye",goodbye
TRAIN,no sorry,others
TRAIN,how is your day going on,greeting
TRAIN,nice talking to you,greeting
TRAIN,good morning to you,greeting
TRAIN,good to see you,greeting
TRAIN,waiting too much time,others
TRAIN,Happy,greeting
TRAIN,hello,greeting
TRAIN,Thanks& keep it up,thanks
TRAIN,he greets him every morning,greeting
TRAIN,I will miss you bot,goodbye
TRAIN,hope to see you later,goodbye
TRAIN,terrific thank you,thanks
TRAIN,"Hi there , can you help",others
TRAIN,long time no see,greeting
TRAIN,how are you theese days,greeting
TRAIN,It was so good to speak with you. Thank you,goodbye
TRAIN,leaving the cobersation right now,goodbye
TRAIN,can I open bank account,others
TRAIN,"anyone there , just bought new jackets",others
TRAIN,"Hey, It was pleasure meeting you",goodbye
TRAIN,thank you for your help,thanks
TRAIN,"Hi All , please open an account",others
TRAIN,waited for long time,others
TRAIN,completely dissatisfied with the product,others
TRAIN,"Good Afternoon All , change my address",others
TRAIN,howdy,greeting
TRAIN,hiii hiiiiii Hiii Hiiii hellllo hlllo hellllo,greeting
TRAIN,let's catch up soon,goodbye
TRAIN,the bot is useless,others
TRAIN,Is your debt dragging the economy down?,others
TRAIN,Dutch port city of Rotterdam to host 2020 Eurovision Song Contest,others
TRAIN,"worst app , Fake really",others
TRAIN,good morning everyone,greeting
TRAIN,"Good Evening , I really want to speak to a human",escalate
TRAIN,How are you mate,greeting
TRAIN,leave me alone,goodbye
TRAIN,Greetings!,greeting
TRAIN,"Good Afternoon All , no reply from past 1 hour",others
TRAIN,you can call me. Thanks,thanks
TRAIN,you're the funniest bot I've talked to,others
TRAIN,"Hi There , Could you please. Thanks",others
TRAIN,thanks.,thanks
TRAIN,good to see you again,greeting
TRAIN,I'm doing well. How are you?,others
TRAIN,nice to meet you,greeting
TRAIN,"Telco wars: Bharti Airtel launches 1Gbps broadband offering at Rs 3,999/month",others
TRAIN,completely dissatisfied,others
TRAIN,"Hi team , Do I still need to wait. this is insane",others
TRAIN,can you tell me more in details regarding your product,others
TRAIN,how has your day been going,greeting
TRAIN,pleasure working. good bye,goodbye
TRAIN,"Hello , open bank account",others
TRAIN,"Hi, nice to meet you",greeting
TRAIN,GE All,greeting
TRAIN,pathetic bot and dumb,others
TRAIN,don t have a sense,others
TRAIN,Thanks for the availability,thanks
TRAIN,"Hi Good Morning Everyone , Take care",goodbye
TRAIN,"Good Everning , help me please on the request raised",others
TRAIN,thanks for  the entire team,thanks
TRAIN,it was nice meeting you,greeting
TRAIN,Round of applause Lloyds for sending me yet another bank charge when your machines are down at my local branch,others
TRAIN,how is your day going,greeting
TRAIN,How’s everything,greeting
TRAIN,don't,others
TRAIN,"Hi Good Morning , UK students get sneak-peak of Shankarapura Mallige",others
TRAIN,Loved the food. Thanks,thanks
TRAIN,how are you feeling,greeting
TRAIN,"Hey There , can I suggest to. Thanks",others
TRAIN,can anyone get back to my request,others
TRAIN,hey I want to talk to an agent,escalate
TRAIN,"hi, my new card is with the classic account, & I have just upgraded acc to club lloyds",others
TRAIN,Thanks for tweeting!,thanks
TRAIN,you make me laugh a lot,others
TRAIN,"Hi Good Morning Team , Timex Helix Gusto fitness band: First impressions",others
TRAIN,you annoy me,others
TRAIN,This is the first look of the OnePlus TV remote,others
TRAIN,I love this service. Thanks,thanks
TRAIN,ASD worst Sevice EVER,others
TRAIN,"New iPhones to come to India from Sep 27 for Rs 64,900 onwards; old versions get price cuts",others
TRAIN,glad to meet you,greeting
TRAIN,"hi there , could you please send me xxxx",others
TRAIN,Morning Everyone,greeting
TRAIN,how annoying you are,others
TRAIN,thank you my friend,thanks
TRAIN,"hey all , I need to",others
TRAIN,how is it going,greeting
TRAIN,not this time,others
TRAIN,no forget,others
TRAIN,How do you do man?,greeting
TRAIN,I would like to know the xx,others
TRAIN,"Guys , Indian students are embracing new study areas to be",others
TRAIN,Good Morning,greeting
TRAIN,no I don't,others
TRAIN,Good Morning Everyone,greeting
TRAIN,"anyone there , buy new xx",others
TRAIN,okay bye,goodbye
TRAIN,"Hello , waste work",others
TRAIN,hi good morning,greeting
TRAIN,no thank you that's all,thanks
TRAIN,Hi Mate. Thanks for your help,others
TRAIN,"Hi All , I want to talk to human right away",escalate
TRAIN,MCI launches foundation course for MBBS students,others
TRAIN,"Real-time news, scores, and stats with CBS Sports app are at your fingertips",others
TRAIN,"Hi team , laptop",others
TRAIN,Divya Deshmukh youngest from Maharashtra to win medal at National,others
TRAIN,wishing you loads of happiness,greeting
TRAIN,see you,goodbye
TRAIN,can you help me in changing the address,others
TRAIN,can you let me know the best action,others
TRAIN,Hey Good Morning,greeting
TRAIN,that's all goodbye,goodbye
TRAIN,Not too much,others
TRAIN,hung up on last night.,others
TRAIN,"Hellllo , how do you do",greeting
TRAIN,you are annoying me,others
TRAIN,I hope you're having a great week,greeting
TRAIN,have a nice morning,greeting
TRAIN,have a great morning,greeting
TRAIN,how is your day,greeting
TRAIN,Leo Burnett bags Airtel mandate,others
TRAIN,"Hi There , Thank you !",thanks
TRAIN,Worst duty ever no help in 5 years!,others
TRAIN,see you again,goodbye
TRAIN,what's shaking,greeting
TRAIN,thanks a lot,thanks
TRAIN,BBC Sport is another great app for sports news and coverage,others
TRAIN,I'm not,others
TRAIN,"Good Morning, Join India's first luxury holiday membership",others
TRAIN,I hope you're having a wonderful day,greeting
TRAIN,Farewell da,goodbye
TRAIN,no don't,others
TRAIN,Hello from the other side,greeting
TRAIN,farewell buddy,goodbye
TRAIN,what  the hell. useless app,others
TRAIN,"Hi team , may I know the account",others
TRAIN,Bleacher Report app is focused on national sports coverage.,others
TRAIN,"Good Morning , set up a meeting with your team lead",escalate
TRAIN,"Good Morning All , Waited for very long time",others
TRAIN,"Good Morning Everyone , Thank you seriously",thanks
TRAIN,so nice of you,thanks
TRAIN,Mick Jagger swaps stage for set in art thriller 'The Burnt Orange Heresy',others
TRAIN,Fresh snags: IndiGo grounds two A320 Neo aircraft for PW engine replacement,others
TRAIN,"Bengaluru woman takes 15 tablets for headache, dies",others
TRAIN,asshole the bot is ,others
TRAIN,"Good Afternoon All , can I change my address",others
TRAIN,wishing you a very happy new year,greeting
TRAIN,GE All,greeting
TRAIN,"Good Morning Team , can you tell me the password",others
TRAIN,"Hello Everyone , could you please cancel",others
TRAIN,"Not much, how about you?",greeting
TRAIN,I am glad to see you again,greeting
TRAIN,Would like to change my account number,others
TRAIN,"Hi There , Want to speak to your manager",escalate
TRAIN,pleasure to meet you,greeting
TRAIN,I appreciate it,thanks
TRAIN,not this,others
TRAIN,hello good morning,greeting
TRAIN,"Good Morning,3 iPhones, new AirPods and all that Apple may launch today",others
TRAIN,"Hi , redirect me to a human",escalate
TRAIN,Yup,thanks
TRAIN,greetings,greeting
TRAIN,Now You Can See and Control the Data That Apps and Websites Share With Facebook. We're introducing a way to view and control your off-Facebook activity.,others
TRAIN,Thank you for helping on time,thanks
TRAIN,Some people feel 'OM' and 'Cow' will take country,others
TRAIN,this is insane. no reply from long time,others
TRAIN,and a good morning to you,greeting
TRAIN,what's cracking,greeting
TRAIN,very very slow service,others
TRAIN,Thanks for the quick update,thanks
TRAIN,Seniors shaping budding civil servants at AU campus,others
TRAIN,closing the request as soon as possible,goodbye
TRAIN,"Good Afternoon , New Zealand's status as preferred education",others
TRAIN,Good Team Effort. Thanks,thanks
TRAIN,nah,others
TRAIN,I think no,others
TRAIN,nothing is working as expected,others
TRAIN,do not,others
TRAIN,I'm glad to see you,greeting
TRAIN,"Hey , could you please. Thanks",others
TRAIN,can you tell me the password,others
TRAIN,"You can customise alerts behavior such as sound, light or vibration",others
TRAIN,"Hi Good Morning Everyone , Very bad service",others
TRAIN,Can you give me a cancellation request number based on which the card was cancelled,others
TRAIN,not satisifed  the product,others
TRAIN,hey mate,greeting
TRAIN,"Good Morning Team , Android users, remove any of these 24 apps from your phone immediately",others
TRAIN,Become an AI&ML specialist with BITS Pilani AI&ML PG Program,others
TRAIN,Could you please redirect me to an agent,escalate
TRAIN,Could you give me your manager number,escalate
TRAIN,Every city needs to do this,others
TRAIN,"Hi Team , can you reset my password ",others
TRAIN,Yay!!! Thanks for bringing it back!!! IT'S THE BEST!!!,thanks
TRAIN,It is a pleasure to meet you,goodbye
TRAIN,"Hello , can you please help in recovering my account",others
TRAIN,Not at all satisfied,others
TRAIN,is everything all right,greeting
TRAIN,Could you please let me know .Thanks,others
TRAIN,I want to escalate the issue to higher management team,escalate
TRAIN,not at all satisfied the effort,others
TRAIN,wassup,greeting
TRAIN,how about you,greeting
TRAIN,"Hi Good Afternoon ,Time to say goodbye",goodbye
TRAIN,I'm angry,others
TRAIN,"HI team , I would like to enroll myself for AWS Course",others
TRAIN,Amazon bets big on India with mega-office,others
TRAIN,"Hey All , waited too much time with no reply",others
TRAIN,Do you help me on changing the nominee,others
TRAIN,can you let me know the algorithm used,others
TRAIN,Macca turns magical Grandude with children's book,others
TRAIN,not interested,others
TRAIN,go to bed,goodbye
TRAIN,It was so good to speak with you. Thank you,goodbye
TRAIN,Good Morning,greeting
TRAIN,"India, Asean agree to review free trade pact",others
TRAIN,What's up?,greeting
TRAIN,no need,others
TRAIN,it 's time to bid adeu,goodbye
TRAIN,"Hi Good Morning Team , Apple iPad 7th generation: First impressions",others
TRAIN,"Good Afternoon , Do I still need to wait. this is insane",others
TRAIN,"Hey All , You can customise alerts behavior such as sound, light or vibration",others
TRAIN,10 great places to go in autumn,others
TRAIN,Chess Nationals in Jammu cut short,others
TRAIN,what exactly do you mean,others
TRAIN,many thanks for all your help !,thanks
TRAIN,"hey , Bye untill we meet again",goodbye
TRAIN,can you cancel the address now,others
TRAIN,greetings.,greeting
TRAIN,"Expats rank India in bottom 10 for quality of life, survey finds",others
TRAIN,I must go,goodbye
TRAIN,no never,others
TRAIN,"no ETA is provided at all , so I am dropping off",others
TRAIN,thanks for bringing this back!,thanks
TRAIN,what do you mean,others
TRAIN,New video animation aims to raise AIDS awareness on Freddie Mercury's birthday,others
TRAIN,you can go now,goodbye
TRAIN,that's it goodbye,goodbye
TRAIN,what the fuck,others
TRAIN,How economic performance of cricketing nations,others
TRAIN,"Hello team , can you please let me know the secondary contact details",others
TRAIN,wait for me,others
TRAIN,Have a great day!,greeting
TRAIN,appreciate your help,thanks
TRAIN,will exit as soon as possible,goodbye
TRAIN,"Motorola set to enter TV segment in India, to partner Flipkart",others
TRAIN,see you tomorrow,goodbye
TRAIN,hey what's up,greeting
TRAIN,"Hi Team , can you",others
TRAIN,"anyone there , can you sport",others
TRAIN,"Hi Good Morning Team , Nokia 7.2 quick review: Impressive looks",others
TRAIN,not exactly,others
TRAIN,"can you build AI , ML , DL and NLP",others
TRAIN,goodbye team,goodbye
TRAIN,Could you let me know the .Thanks,others
TRAIN,Good Bye,goodbye
TRAIN,hi,greeting
TRAIN,it's good to see you,greeting
TRAIN,never mind bye,goodbye
TRAIN,Buy 3BHK home for the price of 2BHK only!,others
TRAIN,"A wave, tear, farewell. Forever it will be a special moment",goodbye
TRAIN,what is your problem. you don't reply,others
TRAIN,can we escalate further ?,escalate
TRAIN,"We are very close to restoring normalcy, says J&K DGP",others
TRAIN,not that,others
TRAIN,It was all possible with your efforts. Thanks team,thanks
TRAIN,"it's resolved now, thanks.",thanks
TRAIN,"Hi There , I want to escalate the issue to your superviser",escalate
TRAIN,And the rest of the day to you,goodbye
TRAIN,"Good Morning All , what a fantastic advert",others
TRAIN,I laugh at your ads....,others
TRAIN,Yes I have received the item and I paid with by card.,others
TRAIN,I don't think so,others
TRAIN,hey,greeting
TRAIN,alright thanks,thanks
TRAIN,"Evening , where is your manager",escalate
TRAIN,Bye Then,goodbye
TRAIN,"Hi Team , Reliance JioFiber plans out, Android 10 released, CamScanner returns and other top tech news",others
TRAIN,I want to speak to a human,escalate
TRAIN,Hi. nice to meet you,greeting
TRAIN,how good it is to see you,greeting
TRAIN,escalate the issue right away,escalate
TRAIN,"Patel was right, Nehru wrong on Kashmir: Ravi Shankar Prasad",others
TRAIN,what a fantastic advert,others
TRAIN,Hello Friend,greeting
TRAIN,thank you that will be all,thanks
TRAIN,"Hi!,  I want to talk to an agent",escalate
TRAIN,okay thank you bye,goodbye
TRAIN,Taylor Swift's 'Lover' album breaks new record in China,others
TRAIN,can you schedule a meeting with your manager,escalate
TRAIN,you ae not good,others
TRAIN,I don't want that,others
TRAIN,"Hi team , I would like to know about NLX options and future prices",others
